place_name,category,cost_category,indoor_outdoor,popularity_rating,destination_city
Marina Beach,Nature Lover / Relaxation Lover / Romantic Couple,Budget,outdoor,5,Chennai
Elliot's Beach,Nature Lover / Relaxation Lover / Budget Backpacker,Budget,outdoor,4,Chennai
Besant Nagar Beach,Nature Lover / Relaxation Lover / Foodie,Budget,outdoor,4,Chennai
Thiruvanmiyur Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Chennai
Covelong Beach,Adventure Seeker / Nature Lover,Budget,outdoor,2,Chennai
Neelankarai Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Chennai
Breezy Beach,Nature Lover / Relaxation Lover / Romantic Couple,Budget,outdoor,2,Chennai
Palavakkam Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Chennai
Injambakkam Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Chennai
Santhome Beach,Nature Lover / Relaxation Lover / Budget Backpacker,Budget,outdoor,4,Chennai
Olcott Memorial Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Chennai
Broken Bridge Beach,Adventure Seeker / Nature Lover,Budget,outdoor,2,Chennai
Bharathi Nagar Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Chennai
Kapaleeshwarar Temple,Culture Seeker / Spiritual Traveler,Mid-range,both,5,Chennai
Parthasarathy Temple,Culture Seeker / Spiritual Traveler,Mid-range,both,4,Chennai
Vadapalani Murugan Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,4,Chennai
Ashtalakshmi Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,3,Chennai
Marundeeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,both,3,Chennai
Shirdi Sai Baba Temple,Spiritual Traveler / Relaxation Lover,Budget,both,3,Chennai
Kandaswamy Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,3,Chennai
Adyar Shiva Temple,Spiritual Traveler / Culture Seeker,Budget,both,3,Chennai
